A Tale of Two Cities (1935),Top Hat (1935),Les Miserables (1935),The Informer (1935),Westward Ho (1935),A Night at the Opera (1935),Anna Karenina (1935),The 39 Steps (1935),Captain Blood (1935),Mutiny on the Bounty (1935),Fantasia  (1940),Foreign Correspondent  (1940),The Grapes of Wrath  (1940),Pinocchio  (1940),Rebecca  (1940),Santa Fe Trail  (1940),The Great Dictator  (1940),The Letter  (1940),The Thief of Bagdad  (1940),The Bells of St Mary's  (1945),Blood on the Sun  (1945),Brief Encounter  (1945),Detour  (1945),In Pursuit to Algiers  (1945),Leave Her to Heaven  (1945),The Lost Weekend  (1945),Spellbound  (1945),All About Eve  (1950),Annie Get Your Gun  (1950),Born Yesterday  (1950),Cheaper By the Dozen  (1950),Cinderella  (1950),Harvey  (1950),The Asphalt Jungle  (1950),The Flame and the Arrow  (1950),Battle Cry  (1955),East of Eden  (1955),Lady and the Tramp  (1955),Mr Roberts  (1955),Night of the Hunter  (1955),Rebel Without a Cause  (1955),The Seven Year Itch  (1955),The Ladykillers  (1955),The Trouble with Harry  (1955),Butterfield 8  (1960),Exodus  (1960),Inherit the Wind  (1960),The Magnificent Seven  (1960),Ocean's 11  (1960),Peeping Tom  (1960),Spartacus  (1960),Swiss Family Robinson  (1960),The Apartment  (1960),The Time Machine  (1960),Dr Zhivago  (1965),The Flight of the Phoenix  (1965),Those Magnificent Men in Their Flying Machines  (1965),Help  (1965),Shenandoah  (1965),The Sound of Music  (1965),That Darn Cat  (1965),The Great Race  (1965),Thunderball  (1965),What's New Pussycat  (1965),Airport  (1970),The Aristocats  (1970),Beneath the Planet of the Apes  (1970),Catch 22  (1970),Five Easy Pieces  (1970),Kelly's Heroes  (1970),Patton  (1970),Tora Tora Tora  (1970),Barry Lyndon  (1975),Three Days of the Condor  (1975),One Flew Over the Cuckoo's Nest  (1975),Dog Day Afternoon  (1975),Jaws  (1975),The Man Who Would Be King  (1975),Monty Python and the Holy Grail  (1975),Return of the Pink Panther  (1975),The Rocky Horror Picture Show (1975),Shampoo  (1975),Airplane (1980),Coal Miner's Daughter  (1980),The Empire Strikes Back  (1980),Nine to Five  (1980),Ordinary People  (1980),Popeye  (1980),Stir Crazy  (1980),Superman 2  (1980),The Blue Lagoon  (1980),Urban Cowboy  (1980),Back to the Future  (1985),Cocoon  (1985),Out of Africa  (1985),Police Academy 2  (1985),Rambo First Blood Part II  (1985),Spies Like Us  (1985),The Color Purple  (1985),Witness  (1985),Dick Tracy  (1990),Die Hard 2  (1990),Ghost  (1990),Goodfellas  (1990),Home Alone  (1990),The Hunt for Red October  (1990),Pretty Woman  (1990),Teenage Mutant Ninja Turtles  (1990),Total Recall  (1990),Ace Ventura 2  (1995),Apollo 13  (1995),Batman Forever  (1995),Casper  (1995),Goldeneye  (1995),Jumanji  (1995),Pocohontas  (1995),Sense And Sensibility  (1995),Toy Story  (1995),Castaway  (2000),Charlie's Angels  (2000),Dinosaur  (2000),Erin Brockovich  (2000),How the Grinch Stole Christmas  (2000),Scary Movie  (2000),The Perfect Storm  (2000),What Women Want  (2000),X-Men  (2000),Hitch  (2005),King Kong  (2005),The Longest Yard  (2005),Madagascar  (2005),Mr & Mrs Smith  (2005),Walk the Line  (2005),Wedding Crashers  (2005)
2.7,6.5,17,16.7,40.9,5.3,13,9.9,14.4,43.4,48.5,35.5,9.2,29.7,6.1,15.5,19.7,3.1,5.9,18.1,31.9,3.7,3.5,60,12.4,58.2,10.2,47.3,32.2,3.9,25,18.4,66.1,7.9,15.3,20,25.9,10.5,8.5,7.2,77,7.7,11.2,8,53.9,55.9,79.3,115.9,15,7.6,4.2,17.7,22,20.9,9.2,20.7,1.8,4.8,18.7,48.5,17,4.6,16.9,19.4,4.7,18,38.5,4,3.3,56.9,4,21.3,36.1,70.4,27.2,17,45.5,6.7,33.2,28.1,50.3,197.9,2.8,12.2,3.9,4.9,36.4,12.3,28.1,30,9.6,5.9,32,16.5,16.5,36.5,1.2,4.7,23.2,10.2,28.5,11.6,148.8,9,9.3,31.8,43.8,4.2,29.7,17.2,7.3,0.8,31.1,17.5,8.9,10.2,5.4,16,24.5,1.9,7.5,22.8,2.5,1.8,10.8,10.3,19.8,13.9,4.1,47.8,32.9,6.1,9.2,10.8
19.3,38.4,42.8,3,23.7,6.3,15.7,7.3,5.2,1.3,7.7,19.2,24.1,19.2,131.3,9.3,1.3,83.7,29.3,10.6,21,5.7,8.2,6.7,3.8,31.8,33.3,7.3,24.5,7.5,17.2,17.8,2.7,16.2,10.4,7.1,14.6,25.1,14.9,10.8,7,19.8,14.5,9,19,12.8,17.4,8.3,11.2,12.5,7,10.6,12,2.4,19.8,2.7,3.3,6.5,28.3,10.3,11.5,6,22,8,4.6,4.7,2.1,161.3,6.4,22.3,3.4,8,46.1,16.3,7.2,3.4,3,8.5,4.2,19.5,209.6,31.7,8.2,19.3,24.8,4.8,5.7,33.5,16,7.4,14.8,2,12.2,2.8,0.9,22,15.2,4.4,4.1,16.9,45,1.5,151.5,3.3,3.7,3.5,38.2,3.3,12.3,4,2.5,1.2,11.4,22.4,2,12,23.3,5.2,36.3,39.8,4.2,9,2,4.3,5.3,15.5,5.9,3.9,2.2,4,35.5,3,8.6,2.1
18,1.9,3.3,25.3,41.1,101.7,12.3,4.7,3.3,5.5,23,4.8,12.7,18.2,3.6,10,22.6,0.7,13.5,26.8,54.9,2.9,18.9,26.6,4.9,5.7,40.3,5.1,28.1,8.5,3.8,6.6,6,24.4,21.5,14.4,19.1,25.2,5.2,13.2,46.5,12,3.4,5,5.1,23.5,23.4,17.4,38.4,11.8,26.3,6.5,28,4.9,4.7,4,1,3.6,6,6.3,2.6,14.5,2.7,4.9,4.7,4.9,3.3,39.4,3.2,8.3,4,44.7,11.4,3.3,7,4.7,5.3,3.4,11,5.7,24.8,12.9,8.2,15.3,3.4,3.9,6.2,21.3,2.8,19.8,18.5,33.7,1.2,5.2,1,2.3,2.3,2.7,13.4,5,6.4,2.6,27.5,24.5,5.6,11,52.1,3.6,7.7,16.7,6,1.5,16,5.5,1.5,4.4,8.3,3,24.4,1.6,4,5.2,17.3,10.1,7.3,9.8,7.6,4,5.6,2,10.1,19.8,3.5,2.5
5,7,14.6,10.2,13.3,1.3,105.6,11.7,5.1,20.1,9,0.9,11,29.8,2.2,3.8,9.8,1.2,2.3,14.6,22.8,12.5,96.1,30.3,3.7,8,1.8,7,62.4,2.2,2.7,3.7,2.5,22.2,14.7,6.8,27.7,10.2,9.2,2.8,4.5,20.6,3.1,9,19.2,13,34.7,6.7,37.2,45.7,9.8,7.5,7.1,30.4,8.5,2.1,3.4,4.7,8.2,8.7,2.8,11.2,1.8,3.1,6.7,4.1,2,0.5,2.2,11.8,2.7,7.3,13.6,2.1,18,1.9,2.3,5.3,2.1,1.5,2.8,6.5,8.8,6.3,9.8,4,6,24.3,2.2,6.8,23,32.8,11.3,5,0.9,22.9,2.4,2.8,13.8,10.2,1.5,3.5,7.1,7.7,5.6,9.5,7.3,8,1,8,4.5,1.2,13.8,6.6,10.3,5.3,6.3,7.6,1.7,0.9,2.4,11.7,3.3,2.4,6.3,18.8,10.6,4,4.7,3.8,2.5,3.2,4.9,3
3.8,1.9,7.1,8.4,9.4,2.6,2.5,4.5,10.6,10.7,5.6,6.4,2.2,14,2.2,5,66.5,1.5,2.1,17.3,12,33.4,4.3,24.5,2.7,19.2,0.8,3.5,3.8,8.3,8.9,8.3,70.1,11.4,19.5,9.3,2.6,9.2,5.3,3.5,4.3,80.4,8.7,6.5,20.2,5,12.1,5.4,8.3,73.8,14.1,0.9,27.4,6,43.5,1.4,4.2,7,7.8,7.3,2.5,7,1.9,1.7,20.7,13,1.6,15.3,8.6,1.6,4.3,18.7,13.4,7.4,15.6,1.9,18.7,3.3,2.1,5,1.3,2.8,36.7,5,12.4,4,5.7,8.6,2.4,1.1,8,1.3,0.6,4.4,3.5,8.7,1.5,2.1,3.5,4.9,2.4,4.4,9.3,4.6,3.5,11.8,1.7,22.9,3.2,42.3,5.3,1.8,15,4.5,1.9,5.1,3.2,7.1,47.1,5.8,4.2,3.4,1,7.3,6.1,8.9,32.1,1.4,3.8,7.9,8.2,15.2,2.5,10.6
5,4,9.5,1.3,7.1,2.2,4.4,3.3,4.8,3.7,7.9,18.3,17.4,3,3.2,6.6,3.2,1.3,2,4.5,11.8,10.5,4.1,2.8,6,5.6,7,4.4,3.2,10,40.8,4.5,9.5,9.8,8.7,3.1,2.5,14.6,4.7,13.8,6.9,44.9,12.3,9.4,23.2,11,14.3,9.7,57,6.7,4.7,1.8,22.3,2.3,6.4,2,2,1,10,8.4,9.7,13.6,5.9,4.4,4.7,2.2,2.1,6.9,7.5,0.8,2.7,32.5,12.6,2.3,3.6,3.7,8.6,5.3,4.5,1,1.3,13.8,9.1,4,4.4,2.3,24.1,32,11.2,14.9,4.1,3.1,0.8,2.4,14.7,5.3,1,5.5,10.1,4.2,4,4.2,2.8,10.4,4.1,20.5,2.5,1.7,0.8,3.3,0.9,1.3,11.3,2.2,8,6.5,6.9,2.7,48.9,0.8,7.4,4.5,2.3,3.8,8.9,19.5,3.5,1.6,2.3,1.8,1,3,3.7,6.3
3.2,1.9,2.5,7.5,8.6,26.3,2.2,3.1,1.8,9.3,49.8,1.3,87.7,6.2,3.2,19,4.2,28,8.1,2.2,32.8,6.7,115.8,10.8,2.8,8,2.3,13.4,1.8,8,23.4,12.8,18.1,8.4,7.1,13.3,3.2,7.2,153.9,15.1,2.6,9.4,5.3,15.6,8.2,49.4,7.3,3.4,20.3,35.7,11.9,3.4,6.3,2.3,23.5,1.2,1.7,7.9,8.7,7.7,3.5,2.5,1.7,3.6,7.3,4,7.2,17.8,11.6,1,4,30.8,4.2,2.8,3.3,3.4,4.6,6.9,3.5,1.9,2.2,8,41.5,17.5,8.9,2.5,13.3,9.5,27.6,0.6,14.9,2.4,0.8,6.3,4.2,8.4,1.4,0.6,14.5,5.3,4,1,20.1,4.2,11.5,6.2,5.2,1.8,2.3,4.3,2.9,1.2,13.3,1.8,1.6,2.7,8.2,4.1,4.2,1.5,5.1,6,0.6,1.7,13.9,31.6,10.5,2.1,4.4,1.8,7.2,17.5,2.9,1.3
2.7,16,22.8,4.8,6,36.4,2.5,19.4,8.2,1.3,31.7,4,2.8,13.3,2.2,4.6,0.5,0.9,5,8.3,5.8,5.8,25.6,1.8,3.3,2,8.2,39.6,3.8,5.1,13.7,4.5,1.4,1.9,4.1,1.7,8.6,9.3,25,3.8,11.3,9.2,7.4,6.2,3.3,21.3,4.1,22,3.6,3.2,9.3,3.7,30.6,1.5,3.1,1.7,5,1.5,1.3,5.8,2.9,12.2,8.3,3.4,14.7,4.4,2.4,2,22.1,4.5,4.9,12.6,22.4,16.4,20,4.5,5.5,17.3,2.5,28.3,3.2,7.2,19.6,12.2,2.3,1.1,50.1,3.8,17.1,8,23,16.8,2.9,4.3,4.2,2.5,1.1,2.3,9.1,4.8,23,2,8.1,4.3,3.3,8.9,1.8,2,7,4.1,2.2,1,1.4,11,1.3,5.3,2.6,1.5,4.4,1.1,11.3,2.5,2,13.8,16.5,18.1,4.5,2.4,5.3,1.4,5.5,3.1,8,1.8
4,1.7,10,17.3,2.5,5.8,36.9,2.7,1.6,2.3,37.6,5.7,1.2,2.6,2.2,15.8,5,0.9,4.2,5.2,4.7,5.6,29.4,12.1,7.8,11.9,1.7,4.4,4.7,2.4,14.3,0.6,6.2,6,1.4,2.5,6.9,11,7.8,3.8,8.1,21.3,3.1,1.9,2.5,7.4,2,23,4.6,27.4,15.9,2.6,43.7,2,19.4,1.8,5.3,1.6,5.8,7.9,1.7,1.8,2.7,3.6,9.3,5.3,15.5,1,12.4,2.3,43,7.5,13.3,18.6,7.5,5.3,3.1,4.2,2.4,15.9,7.5,25.5,19.6,10.6,2.5,1.3,5.2,5.9,4,5.1,8.8,8.4,22.2,6.9,5,10.7,2.5,2.3,23.3,3.1,1.3,3,1.3,1.7,1.5,28.8,2,2.1,9.5,13.6,0.6,4.1,3.2,12.8,1.4,1.9,3.3,2.8,9.1,1.9,5.2,2.4,26.7,2.1,4.7,12.4,2.9,2.4,3.1,1.5,3.7,11.5,3.7,1.4
4.3,11.3,3.7,15.3,7.9,1.3,2,8.6,3.5,20.7,10.7,3.2,4.9,10,1.6,19.5,4.1,1.2,7.6,4.3,15.4,15.5,35,1.3,2.8,41.8,2.5,8.8,3.6,5.7,5.5,20,59.7,30.2,4.8,3.5,5.6,2.2,9.3,3.7,2.9,51.1,12.8,6,6.5,15,4.9,2.8,4.6,2.3,2.3,18.9,31.4,1.8,8,7.6,1.1,8.5,4.1,7.3,2.3,1.6,3.8,3.7,10,9,5.7,1.7,7.5,1.2,88.1,39,27.8,24.5,7.7,4.8,4.6,15.5,13,47.8,1.4,5.7,8.5,12.5,9.5,4.7,7.4,22.9,5.4,3.3,0.7,15,1.9,2.6,3.5,4.6,13.4,7.8,27,4.3,2.5,2.3,2.5,2.8,1.5,29.5,5.1,7.6,9.1,2.5,2.2,25.9,22.3,6,1.4,5,6.8,2.6,45.8,2.3,3.7,3.1,2.5,7,23.7,1.7,3,2,2.1,3.2,2,4,3.3,1.3
