time,count
0,0
2.7,0
2.7,1
22,1
22,2
40,2
40,3
45,3
45,4
48.8,4
48.8,5
53.8,5
53.8,6
57,6
57,7
59.7,7
59.7,8
63.7,8
63.7,9
68,9
68,10
80.7,10
80.7,11
83.2,11
83.2,12
84.8,12
84.8,13
86.6,13
86.6,14
88.6,14
88.6,15
91.1,15
91.1,16
93.6,16
93.6,17
97.1,17
97.1,18
105.6,18
105.6,19
107.9,19
107.9,20
114.8,20
114.8,21
120.1,21
120.1,22
123.7,22
123.7,23
126.1,23
126.1,24
134.6,24
134.6,25
151.5,25
151.5,26
163.3,26
163.3,27
171.6,27
171.6,28
175.4,28
175.4,29
205.2,29
205.2,30
207.3,30
207.3,31
209.7,31
209.7,32
262.3,32
262.3,33
265.5,33
265.5,34
268,34
268,35
271.3,35
271.3,36
275.4,36
275.4,37
281.6,37
281.6,38
285.6,38
285.6,39
288.8,39
288.8,40
292.6,40
292.6,41
300.6,41
300.6,42
309.1,42
309.1,43
314.5,43
314.5,44
342.6,44
342.6,45
346.2,45
346.2,46
352.1,46
352.1,47
364.1,47
364.1,48
373.8,48
373.8,49
423.2,49
423.2,50
442.6,50
442.6,51
448,51
448,52
450.8,52
450.8,53
453,53
453,54
453.8,54
453.8,55
459.3,55
459.3,56
462.7,56
462.7,57
469.9,57
469.9,58
478.4,58
478.4,59
502.6,59
502.6,60
511.3,60
511.3,61
534.6,61
534.6,62
545.7,62
545.7,63
552,63
552,64
558,64
558,65
559.6,65
559.6,66
561.9,66
561.9,67
564.8,67
564.8,68
571.8,68
571.8,69
575.4,69
575.4,70
580.6,70
580.6,71
586.8,71
586.8,72
604.4,72
604.4,73
613.7,73
613.7,74
632.8,74
632.8,75
675.3,75
675.3,76
682.9,76
682.9,77
688.8,77
688.8,78
704.2,78
704.2,79
709.8,79
709.8,80
722.1,80
722.1,81
726.8,81
726.8,82
729.8,82
729.8,83
794.8,83
794.8,84
813.7,84
813.7,85
826.7,85
826.7,86
836.6,86
836.6,87
854.1,87
854.1,88
866.6,88
866.6,89
895.3,89
895.3,90
902.7,90
902.7,91
906.7,91
906.7,92
910.4,92
910.4,93
913.3,93
913.3,94
915.6,94
915.6,95
918.4,95
918.4,96
919.7,96
919.7,97
924.6,97
924.6,98
929.1,98
929.1,99
935.2,99
935.2,100
938.9,100
938.9,101
952.5,101
952.5,102
955,102
955,103
961.3,103
961.3,104
969.3,104
969.3,105
980.2,105
980.2,106
986.2,106
986.2,107
998.8,107
998.8,108
1005.3,108
1005.3,109
1008.6,109
1008.6,110
1012.9,110
1012.9,111
1016.7,111
1016.7,112
1108.7,112
1108.7,113
1137.7,113
1137.7,114
1142.7,114
1142.7,115
1152.7,115
1152.7,116
1158.2,116
1158.2,117
1165.8,117
1165.8,118
1190.6,118
1190.6,119
1201.9,119
1201.9,120
1209.4,120
1209.4,121
1232.2,121
1232.2,122
1255.5,122
1255.5,123
1267.5,123
1267.5,124
1289.5,124
1289.5,125
1294.7,125
1294.7,126
1303.1,126
1303.1,127
1327.3,127
1327.3,128
1333.9,128
1333.9,129
1337.2,129
1337.2,130
1340.4,130
1340.4,131
1371.4,131
1371.4,132
1374.7,132
1374.7,133
1404.1,133
1404.1,134
1414.1,134
1414.1,135
1419,135
1419,136
1474.3,136
1474.3,137
1489.6,137
1489.6,138
1496.5,138
1496.5,139
1518.3,139
1518.3,140
1521,140
1521,141
1541.1,141
1541.1,142
1550,142
1550,143
1553.9,143
1553.9,144
1574.9,144
1574.9,145
1620.2,145
1620.2,146
1625.3,146
1625.3,147
1641.2,147
1641.2,148
1676,148
1676,149
1701.5,149
1701.5,150
1716.8,150
1716.8,151
1722.5,151
1722.5,152
1726.3,152
1726.3,153
1731.9,153
1731.9,154
1737.5,154
1737.5,155
1743.2,155
1743.2,156
1746.1,156
1746.1,157
1749.9,157
1749.9,158
1765.6,158
1765.6,159
1769.1,159
1769.1,160
1772.9,160
1772.9,161
1780.9,161
1780.9,162
1782.9,162
1782.9,163
1784.4,163
1784.4,164
1788.4,164
1788.4,165
1790.4,165
1790.4,166
1797.7,166
1797.7,167
1804,167
1804,168
1806.8,168
1806.8,169
1809.7,169
1809.7,170
1813.2,170
1813.2,171
1817.2,171
1817.2,172
1827.7,172
1827.7,173
1834.7,173
1834.7,174
1837.8,174
1837.8,175
1842.7,175
1842.7,176
1847.2,176
1847.2,177
1850.6,177
1850.6,178
1853.3,178
1853.3,179
1862,179
1862,180
1863.7,180
1863.7,181
1868.1,181
1868.1,182
1875.9,182
1875.9,183
1881.4,183
1881.4,184
1889.9,184
1889.9,185
1893.3,185
1893.3,186
1897.2,186
1897.2,187
1899.7,187
1899.7,188
1903.4,188
1903.4,189
1908.4,189
1908.4,190
1912,190
1912,191
1916.7,191
1916.7,192
1919.5,192
1919.5,193
1927.3,193
1927.3,194
1932.3,194
1932.3,195
1955.1,195
1955.1,196
1958.1,196
1958.1,197
1987.7,197
1987.7,198
1989,198
1989,199
1991.5,199
1991.5,200
1994.7,200
1994.7,201
1996.7,201
1996.7,202
2002.9,202
2002.9,203
2025.9,203
2025.9,204
2027.5,204
2027.5,205
2039.5,205
2039.5,206
2043.8,206
2043.8,207
2049.8,207
2049.8,208
2051.8,208
2051.8,209
2055.3,209
2055.3,210
2061.6,210
2061.6,211
2069.2,211
2069.2,212
2072,212
2072,213
2078.3,213
2078.3,214
2080.3,214
2080.3,215
2088.5,215
2088.5,216
2096.9,216
2096.9,217
2103.1,217
2103.1,218
2117.4,218
2117.4,219
2158.5,219
2158.5,220
2164.4,220
2164.4,221
2167.7,221
2167.7,222
2169.2,222
2169.2,223
2173.3,223
2173.3,224
2175.8,224
2175.8,225
2177.7,225
2177.7,226
2189.5,226
2189.5,227
2191.2,227
2191.2,228
2195.9,228
2195.9,229
2199.2,229
2199.2,230
2206.7,230
2206.7,231
2218.7,231
2218.7,232
2221,232
2221,233
2228.9,233
2228.9,234
2231,234
2231,235
2283.8,235
2283.8,236
2286.6,236
2286.6,237
2306.7,237
2306.7,238
2322,238
2322,239
2331.5,239
2331.5,240
2335.7,240
2335.7,241
2348.7,241
2348.7,242
2353.7,242
2353.7,243
2356.3,243
2356.3,244
2364.3,244
2364.3,245
2368.5,245
2368.5,246
2377.4,246
2377.4,247
2393.3,247
2393.3,248
2407.6,248
2407.6,249
2462.8,249
2462.8,250
2509.6,250
2509.6,251
2511.6,251
2511.6,252
2526.3,252
2526.3,253
2550,253
2550,254
2557.5,254
2557.5,255
2560.3,255
2560.3,256
2571.8,256
2571.8,257
2577.1,257
2577.1,258
2588.9,258
2588.9,259
2601.9,259
2601.9,260
2603.3,260
2603.3,261
2629.7,261
2629.7,262
2638.1,262
