time,count
0,0
17.2,0
17.2,1
21.2,1
21.2,2
37.9,2
37.9,3
45.9,3
45.9,4
88.19999999999999,4
88.19999999999999,5
91.5,5
91.5,6
95.8,6
95.8,7
99.89999999999999,7
99.89999999999999,8
113.5,8
113.5,9
116,9
116,10
118,10
118,11
126.69999999999999,11
126.69999999999999,12
135.29999999999998,12
135.29999999999998,13
161.29999999999998,13
161.29999999999998,14
178.2,14
178.2,15
183.6,15
183.6,16
187.29999999999998,16
187.29999999999998,17
190.29999999999998,17
190.29999999999998,18
192.29999999999998,18
192.29999999999998,19
203.1,19
203.1,20
207.7,20
207.7,21
213,21
213,22
214.2,22
214.2,23
215.2,23
215.2,24
218.4,24
218.4,25
224.1,25
224.1,26
226.9,26
226.9,27
228.9,27
228.9,28
239.6,28
239.6,29
242.4,29
242.4,30
246.5,30
246.5,31
249.1,31
249.1,32
256.09999999999997,32
256.09999999999997,33
258.59999999999997,33
258.59999999999997,34
261.5,34
261.5,35
264,35
264,36
269,36
269,37
269.59999999999997,37
269.59999999999997,38
271.4,38
271.4,39
273.09999999999997,39
273.09999999999997,40
274.2,40
274.2,41
278.9,41
278.9,42
279.8,42
279.8,43
281.09999999999997,43
281.09999999999997,44
283.5,44
283.5,45
284.7,45
284.7,46
285.5,46
285.5,47
286.8,47
286.8,48
289.59999999999997,48
289.59999999999997,49
290.59999999999997,49
290.59999999999997,50
292,50
292,51
295.2,51
295.2,52
297.2,52
297.2,53
298.5,53
298.5,54
300.09999999999997,54
300.09999999999997,55
301.3,55
301.3,56
302.3,56
302.3,57
303.9,57
303.9,58
305.8,58
305.8,59
306.8,59
306.8,60
308.4,60
308.4,61
309.9,61
309.9,62
310.8,62
310.8,63
312.4,63
312.4,64
314.3,64
314.3,65
317.3,65
317.3,66
317.8,66
317.8,67
318.59999999999997,67
318.59999999999997,68
338.7,68
338.7,69
343.4,69
343.4,70
350.4,70
350.4,71
367.4,71
367.4,72
426.5,72
426.5,73
446.3,73
446.3,74
453.8,74
453.8,75
456.6,75
456.6,76
458.8,76
458.8,77
461.1,77
461.1,78
463.2,78
463.2,79
465.8,79
465.8,80
470.2,80
470.2,81
474.4,81
474.4,82
483.3,82
483.3,83
485.7,83
485.7,84
488.6,84
488.6,85
491,85
491,86
492.6,86
492.6,87
499.6,87
499.6,88
505.9,88
505.9,89
507.7,89
507.7,90
513.2,90
513.2,91
515.5,91
515.5,92
536.6,92
536.6,93
538.2,93
538.2,94
544,94
544,95
551.9,95
551.9,96
553.5,96
553.5,97
554.8,97
554.8,98
557.3,98
557.3,99
559.4,99
559.4,100
561.1,100
561.1,101
564.6,101
564.6,102
568.9,102
568.9,103
571.3,103
571.3,104
573.9,104
573.9,105
574.9,105
574.9,106
579.3,106
579.3,107
582.7,107
582.7,108
585.2,108
585.2,109
586.3,109
586.3,110
596.7,110
596.7,111
599.7,111
599.7,112
607.8,112
607.8,113
609.7,113
609.7,114
648,114
648,115
649.7,115
649.7,116
653.4,116
653.4,117
655.7,117
655.7,118
661.8,118
661.8,119
669.7,119
669.7,120
671.5,120
671.5,121
675.1,121
675.1,122
683.7,122
683.7,123
687.5,123
687.5,124
696.4,124
696.4,125
697.8,125
697.8,126
702.1,126
702.1,127
705.6,127
705.6,128
722.6,128
722.6,129
732.1,129
732.1,130
735.5,130
735.5,131
737.3,131
737.3,132
743,132
743,133
744.3,133
744.3,134
748.3,134
748.3,135
749.2,135
749.2,136
751.7,136
751.7,137
752.8,137
752.8,138
754.8,138
754.8,139
757.1,139
757.1,140
758.1,140
758.1,141
760.4,141
760.4,142
763.7,142
763.7,143
774,143
774,144
789.6,144
789.6,145
816.4,145
816.4,146
820.4,146
820.4,147
824.5,147
824.5,148
828.3,148
828.3,149
832.1,149
832.1,150
845.8,150
845.8,151
850,151
850,152
854.7,152
854.7,153
865.8,153
865.8,154
866.8,154
866.8,155
868.1,155
868.1,156
869,156
869,157
870.1,157
870.1,158
871.2,158
871.2,159
872,159
872,160
873.2,160
873.2,161
874.7,161
874.7,162
876.4,162
876.4,163
878.9,163
878.9,164
880.1,164
880.1,165
881.1,165
881.1,166
882.9,166
882.9,167
883.9,167
883.9,168
885,168
885,169
885.6,169
885.6,170
887,170
887,171
887.7,171
887.7,172
889.1,172
889.1,173
891.2,173
891.2,174
893.4,174
893.4,175
896.8,175
896.8,176
897.9,176
897.9,177
899.4,177
899.4,178
902.7,178
902.7,179
906.2,179
906.2,180
909.2,180
909.2,181
910.6,181
910.6,182
914.1,182
914.1,183
915.1,183
915.1,184
915.9,184
915.9,185
917.3,185
917.3,186
920,186
920,187
921.3,187
921.3,188
923.4,188
923.4,189
925,189
925,190
927.7,190
927.7,191
929.3,191
929.3,192
934.8,192
