time,count
0,0
2.8,0
2.8,1
11,1
11,2
19.2,2
19.2,3
28,3
28,4
64.7,4
64.7,5
73.8,5
73.8,6
115.3,6
115.3,7
134.9,7
134.9,8
154.5,8
154.5,9
163,9
163,10
164.8,10
164.8,11
167.8,11
167.8,12
178.20000000000002,12
178.20000000000002,13
186.9,13
186.9,14
193,14
193,15
199.70000000000002,15
199.70000000000002,16
208.20000000000002,16
208.20000000000002,17
222.6,17
222.6,18
226.4,18
226.4,19
234.5,19
234.5,20
239.9,20
239.9,21
245.20000000000002,21
245.20000000000002,22
256.5,22
256.5,23
263.6,23
263.6,24
303.7,24
303.7,25
314.4,25
314.4,26
320.2,26
320.2,27
326.8,27
326.8,28
337.7,28
337.7,29
363.9,29
363.9,30
388.2,30
388.2,31
393.1,31
393.1,32
395,32
395,33
404.9,33
404.9,34
408,34
408,35
424.1,35
424.1,36
428.6,36
428.6,37
436.90000000000003,37
436.90000000000003,38
477,38
477,39
490.90000000000003,39
490.90000000000003,40
499.7,40
499.7,41
509,41
509,42
521.6,42
521.6,43
528.5,43
528.5,44
532.3,44
532.3,45
543.2,45
543.2,46
551,46
551,47
555.1,47
555.1,48
557.9,48
557.9,49
560.4,49
560.4,50
562,50
562,51
563.9,51
563.9,52
565.5,52
565.5,53
566.9,53
566.9,54
570.9,54
570.9,55
572,55
572,56
575,56
575,57
575.7,57
575.7,58
578.1,58
578.1,59
595.9,59
595.9,60
602.3,60
602.3,61
610.9,61
610.9,62
619.1,62
619.1,63
623,63
623,64
634.4,64
634.4,65
640.5,65
640.5,66
658.9,66
658.9,67
682.4,67
682.4,68
700.1,68
700.1,69
703.5,69
703.5,70
706.4,70
706.4,71
708.4,71
708.4,72
711.1,72
711.1,73
713.6,73
713.6,74
715.3,74
715.3,75
719.1,75
719.1,76
721.9,76
721.9,77
729.8,77
729.8,78
731.2,78
731.2,79
737.5,79
737.5,80
740.1,80
740.1,81
743.2,81
743.2,82
744.4,82
744.4,83
747.6,83
747.6,84
749.2,84
749.2,85
758.4,85
758.4,86
783.6,86
783.6,87
802.7,87
802.7,88
807.4,88
807.4,89
809.8,89
809.8,90
813.1,90
813.1,91
816.4,91
816.4,92
818.4,92
818.4,93
823,93
823,94
843.3,94
843.3,95
851.6,95
851.6,96
888.9,96
888.9,97
893.2,97
893.2,98
897,98
897,99
923.4,99
923.4,100
927.2,100
927.2,101
941.3,101
941.3,102
943.1,102
943.1,103
950.7,103
950.7,104
961.2,104
961.2,105
969,105
969,106
970.6,106
970.6,107
974.5,107
974.5,108
977.9,108
977.9,109
1001.7,109
1001.7,110
1008.5,110
1008.5,111
1017.8,111
1017.8,112
1031.3,112
1031.3,113
1057.5,113
1057.5,114
1066.9,114
1066.9,115
1072.5,115
1072.5,116
1080.8,116
1080.8,117
1091.1,117
1091.1,118
1095.6,118
1095.6,119
1103.8,119
1103.8,120
1106.4,120
1106.4,121
1109.2,121
1109.2,122
1121.8,122
1121.8,123
1125.4,123
1125.4,124
1131.9,124
1131.9,125
1156.3,125
1156.3,126
1158.1,126
1158.1,127
1178.2,127
1178.2,128
1200.6,128
1200.6,129
1224.8,129
1224.8,130
1240.8,130
1240.8,131
1265.2,131
1265.2,132
1268.8,132
1268.8,133
1272.1,133
1272.1,134
1274.7,134
1274.7,135
1279.2,135
1279.2,136
