time,count
0,0
4.7,0
4.7,1
9.3,1
9.3,2
14,2
14,3
20.7,3
20.7,4
41.4,4
41.4,5
46.1,5
46.1,6
53.4,6
53.4,7
68.1,7
68.1,8
77.4,8
77.4,9
87.4,9
87.4,10
92.1,10
92.1,11
96.8,11
96.8,12
101.4,12
101.4,13
109.3,13
109.3,14
112.5,14
112.5,15
115.8,15
115.8,16
121.2,16
121.2,17
124.1,17
124.1,18
147.7,18
147.7,19
151.2,19
151.2,20
155.7,20
155.7,21
172.2,21
172.2,22
175.4,22
175.4,23
178.8,23
178.8,24
181.1,24
181.1,25
182.8,25
182.8,26
185.1,26
185.1,27
192.9,27
192.9,28
196.2,28
196.2,29
204.2,29
204.2,30
209.1,30
209.1,31
213.7,31
213.7,32
218.7,32
218.7,33
222,33
222,34
225,34
225,35
227.6,35
227.6,36
231.3,36
231.3,37
234.3,37
234.3,38
236.9,38
236.9,39
239,39
239,40
241.4,40
241.4,41
243.8,41
243.8,42
249.4,42
249.4,43
256.7,43
256.7,44
265.5,44
265.5,45
277.9,45
277.9,46
281.4,46
281.4,47
287.2,47
287.2,48
297.4,48
297.4,49
303.5,49
303.5,50
312.7,50
312.7,51
342.7,51
342.7,52
343.6,52
343.6,53
349.8,53
349.8,54
355.6,54
355.6,55
357.1,55
357.1,56
375.6,56
375.6,57
390.8,57
390.8,58
399.1,58
399.1,59
403,59
403,60
406.4,60
406.4,61
410.8,61
410.8,62
416.7,62
416.7,63
426.8,63
426.8,64
455,64
455,65
456.6,65
456.6,66
458.2,66
458.2,67
463.5,67
463.5,68
466.3,68
466.3,69
470.6,69
470.6,70
473.6,70
473.6,71
476.5,71
476.5,72
480.4,72
480.4,73
520.4,73
520.4,74
537.5,74
537.5,75
541.4,75
541.4,76
545.1,76
545.1,77
560.7,77
560.7,78
566.7,78
566.7,79
571.2,79
571.2,80
576.7,80
576.7,81
591.3,81
591.3,82
613.4,82
613.4,83
618.4,83
618.4,84
634.7,84
634.7,85
664.8,85
664.8,86
667.2,86
667.2,87
673.1,87
673.1,88
678.4,88
678.4,89
682.7,89
682.7,90
685.9,90
685.9,91
697.9,91
697.9,92
703.5,92
703.5,93
704.9,93
704.9,94
710.7,94
710.7,95
712.2,95
712.2,96
720.2,96
720.2,97
747.2,97
747.2,98
792.9,98
792.9,99
800.2,99
800.2,100
810.7,100
810.7,101
820.7,101
820.7,102
823.4,102
823.4,103
834,103
834,104
840.3,104
840.3,105
847.4,105
847.4,106
853.3,106
853.3,107
894.7,107
894.7,108
910.2,108
910.2,109
914.7,109
914.7,110
920.2,110
920.2,111
925.1,111
925.1,112
928.2,112
928.2,113
931.2,113
931.2,114
937.9,114
937.9,115
941.5,115
941.5,116
944.8,116
944.8,117
948.1,117
948.1,118
959.6,118
959.6,119
961.9,119
961.9,120
962.7,120
962.7,121
968,121
968,122
979.6,122
979.6,123
985.6,123
985.6,124
988.4,124
988.4,125
1009.7,125
1009.7,126
