time,count
0,0
47.3,0
47.3,1
54.599999999999994,1
54.599999999999994,2
59.699999999999996,2
59.699999999999996,3
66.7,3
66.7,4
70.2,4
70.2,5
74.6,5
74.6,6
88,6
88,7
127.6,7
127.6,8
132,8
132,9
140.8,9
140.8,10
150.8,10
150.8,11
161.3,11
161.3,12
186.8,12
186.8,13
201.1,13
201.1,14
224.4,14
224.4,15
248.7,15
248.7,16
252.5,16
252.5,17
257.5,17
257.5,18
266.8,18
266.8,19
272.1,19
272.1,20
275.4,20
275.4,21
282.5,21
282.5,22
288.2,22
288.2,23
291.9,23
291.9,24
307.4,24
307.4,25
313.9,25
313.9,26
315.7,26
315.7,27
321,27
321,28
329.4,28
329.4,29
331.2,29
331.2,30
332.3,30
332.3,31
334.6,31
334.6,32
336.6,32
336.6,33
338.4,33
338.4,34
341,34
341,35
356.4,35
356.4,36
364.1,36
364.1,37
369,37
369,38
376.2,38
376.2,39
394.5,39
394.5,40
402.7,40
402.7,41
419.6,41
419.6,42
426.4,42
426.4,43
507.7,43
507.7,44
518.7,44
518.7,45
534.3,45
534.3,46
537,46
537,47
563.1,47
563.1,48
594.1,48
594.1,49
600.8,49
600.8,50
606.2,50
606.2,51
632.3,51
632.3,52
634.8,52
634.8,53
639.8,53
639.8,54
647.1,54
647.1,55
648.7,55
648.7,56
653.8,56
653.8,57
655.4,57
655.4,58
658.2,58
658.2,59
663.5,59
663.5,60
664.8,60
664.8,61
666.7,61
666.7,62
678.9,62
678.9,63
680.1,63
680.1,64
693,64
693,65
694.5,65
694.5,66
696,66
696,67
720.8,67
720.8,68
722.1,68
722.1,69
735.9,69
735.9,70
739.6,70
739.6,71
740.9,71
740.9,72
743.4,72
743.4,73
748.9,73
748.9,74
760,74
760,75
762.5,75
762.5,76
770.6,76
770.6,77
776.1,77
776.1,78
793.2,78
793.2,79
800.1,79
800.1,80
802.1,80
802.1,81
803.4,81
803.4,82
808.2,82
808.2,83
810.5,83
810.5,84
812.1,84
812.1,85
816,85
816,86
817.5,86
817.5,87
821.3,87
821.3,88
848.3,88
848.3,89
855.1,89
855.1,90
857.8,90
857.8,91
865.6,91
865.6,92
868.2,92
868.2,93
870.7,93
870.7,94
872.1,94
872.1,95
888.4,95
888.4,96
894,96
894,97
904.5,97
904.5,98
906.4,98
906.4,99
929.4,99
929.4,100
933.4,100
933.4,101
962.6,101
962.6,102
966.1,102
966.1,103
978.9,103
978.9,104
982.2,104
982.2,105
998,105
998,106
1001.1,106
1001.1,107
1003.4,107
1003.4,108
1014.9,108
1014.9,109
1018.2,109
1018.2,110
1032.9,110
1032.9,111
1037,111
1037,112
1043.1,112
1043.1,113
1051.4,113
1051.4,114
1052.3,114
1052.3,115
1055.1,115
1055.1,116
1131.6,116
1131.6,117
1134.2,117
1134.2,118
1136.1,118
1136.1,119
1167.4,119
1167.4,120
1191.4,120
1191.4,121
1213.3,121
1213.3,122
1218.9,122
1218.9,123
1223.1,123
1223.1,124
1236.2,124
1236.2,125
1255.8,125
1255.8,126
1257.4,126
1257.4,127
1260,127
1260,128
1262.9,128
1262.9,129
1264.7,129
1264.7,130
1267.9,130
1267.9,131
1272.8,131
1272.8,132
1351.8,132
1351.8,133
1355.3,133
1355.3,134
1357.5,134
