time,count
0,0
32.2,0
32.2,1
56.7,1
56.7,2
84.80000000000001,2
84.80000000000001,3
147.2,3
147.2,4
151,4
151,5
154.2,5
154.2,6
156,6
156,7
159.8,7
159.8,8
164.5,8
164.5,9
168.1,9
168.1,10
173.3,10
173.3,11
202.1,11
202.1,12
223.5,12
223.5,13
224.9,13
224.9,14
256.9,14
256.9,15
280.2,15
280.2,16
290.1,16
290.1,17
293.9,17
293.9,18
314.1,18
314.1,19
321.8,19
321.8,20
341.3,20
341.3,21
343.6,21
343.6,22
359.1,22
359.1,23
375.7,23
375.7,24
382,24
382,25
384.2,25
384.2,26
388.5,26
388.5,27
407.6,27
407.6,28
425.8,28
425.8,29
441.2,29
441.2,30
444.1,30
444.1,31
471.1,31
471.1,32
481,32
481,33
489.8,33
489.8,34
500.3,34
500.3,35
566.8,35
566.8,36
569.7,36
569.7,37
635.8,37
635.8,38
643.8,38
643.8,39
650.5,39
650.5,40
658.9,40
658.9,41
675.9,41
675.9,42
717.7,42
717.7,43
733.2,43
733.2,44
734.8,44
734.8,45
744.2,45
744.2,46
757.4,46
757.4,47
760.8,47
760.8,48
793,48
793,49
807.8,49
807.8,50
811.5,50
811.5,51
812.7,51
812.7,52
832.5,52
832.5,53
991,53
991,54
1018.1,54
1018.1,55
1065.2,55
1065.2,56
1087.7,56
1087.7,57
1117.7,57
1117.7,58
1154.8,58
1154.8,59
1163.7,59
1163.7,60
1178.1,60
1178.1,61
1188,61
1188,62
1194.5,62
1194.5,63
1202,63
1202,64
1209.5,64
1209.5,65
1216.6,65
1216.6,66
1225.7,66
1225.7,67
1233.8,67
1233.8,68
1243.3,68
1243.3,69
1249.9,69
1249.9,70
1252.7,70
1252.7,71
1262.5,71
1262.5,72
1272,72
1272,73
1280.2,73
1280.2,74
1281.9,74
1281.9,75
1287.3,75
1287.3,76
1289.1,76
1289.1,77
1304.2,77
1304.2,78
1310,78
1310,79
1324,79
1324,80
1329.5,80
1329.5,81
1341.5,81
1341.5,82
1359.6,82
1359.6,83
1381.3,83
1381.3,84
1384.5,84
1384.5,85
