time,count
0,0
7.3,0
7.3,1
9.8,1
9.8,2
15.8,2
15.8,3
20.3,3
20.3,4
25.6,4
25.6,5
26.5,5
26.5,6
29.4,6
29.4,7
31.6,7
31.6,8
32.2,8
32.2,9
34.4,9
34.4,10
37.7,10
37.7,11
41,11
41,12
46.5,12
46.5,13
50.7,13
50.7,14
65.7,14
65.7,15
99.7,15
99.7,16
108.2,16
108.2,17
129.1,17
129.1,18
135.1,18
135.1,19
141.5,19
141.5,20
147.5,20
147.5,21
157.1,21
157.1,22
159.4,22
159.4,23
160.7,23
160.7,24
162.8,24
162.8,25
170.7,25
170.7,26
179,26
179,27
187,27
187,28
189.6,28
189.6,29
194.6,29
194.6,30
198.3,30
198.3,31
201.1,31
201.1,32
201.7,32
201.7,33
203.4,33
203.4,34
206.1,34
206.1,35
208.3,35
208.3,36
210.1,36
210.1,37
216.6,37
216.6,38
217.9,38
217.9,39
219.9,39
219.9,40
221.8,40
221.8,41
231.3,41
231.3,42
233.3,42
233.3,43
234.6,43
234.6,44
238.3,44
238.3,45
239.5,45
239.5,46
244.3,46
244.3,47
245.4,47
245.4,48
247.4,48
247.4,49
249.8,49
249.8,50
273.3,50
273.3,51
277.4,51
277.4,52
281.7,52
281.7,53
286.7,53
286.7,54
293.7,54
293.7,55
336,55
336,56
338.7,56
338.7,57
341.5,57
341.5,58
343.7,58
343.7,59
347.5,59
347.5,60
356.3,60
356.3,61
358.6,61
358.6,62
372.3,62
372.3,63
375.1,63
375.1,64
383.8,64
383.8,65
387.7,65
387.7,66
396.6,66
396.6,67
400.9,67
400.9,68
406.1,68
406.1,69
408.9,69
408.9,70
423,70
423,71
431.7,71
431.7,72
463.5,72
463.5,73
475,73
475,74
479.1,74
479.1,75
482.4,75
482.4,76
488.2,76
488.2,77
492.2,77
492.2,78
498.1,78
498.1,79
504.1,79
504.1,80
507.4,80
507.4,81
515.1,81
515.1,82
537.3,82
537.3,83
540.8,83
540.8,84
548.3,84
548.3,85
570.2,85
570.2,86
571.7,86
571.7,87
575.9,87
575.9,88
577.3,88
577.3,89
585.6,89
585.6,90
592.7,90
592.7,91
594.4,91
594.4,92
598.7,92
598.7,93
601.7,93
601.7,94
606.2,94
606.2,95
613.1,95
613.1,96
615,96
615,97
617.3,97
617.3,98
624.2,98
624.2,99
626.3,99
626.3,100
630.5,100
630.5,101
636.7,101
636.7,102
650.2,102
650.2,103
653.5,103
653.5,104
655.3,104
655.3,105
657.6,105
657.6,106
658.6,106
658.6,107
659.9,107
659.9,108
661.9,108
661.9,109
663.3,109
663.3,110
664.9,110
664.9,111
666.7,111
666.7,112
669.7,112
669.7,113
672.1,113
672.1,114
672.8,114
672.8,115
674.6,115
674.6,116
677.5,116
677.5,117
679.9,117
679.9,118
681.7,118
681.7,119
683.1,119
683.1,120
684.5,120
684.5,121
686,121
686,122
687.1,122
687.1,123
688.5,123
688.5,124
690.8,124
690.8,125
691.5,125
691.5,126
692.7,126
692.7,127
694.9,127
694.9,128
696.4,128
696.4,129
704.7,129
704.7,130
710.9,130
710.9,131
716.5,131
716.5,132
718.6,132
718.6,133
730.7,133
730.7,134
738.8,134
738.8,135
743.4,135
743.4,136
745.9,136
745.9,137
759.3,137
759.3,138
762.3,138
762.3,139
767.5,139
767.5,140
770,140
770,141
771.3,141
771.3,142
773.3,142
773.3,143
775.9,143
775.9,144
779.8,144
779.8,145
781.1,145
781.1,146
783.7,146
783.7,147
785.9,147
785.9,148
787.7,148
787.7,149
788.3,149
788.3,150
789.1,150
789.1,151
790.7,151
790.7,152
791.6,152
791.6,153
792.9,153
792.9,154
793.5,154
793.5,155
794.1,155
794.1,156
794.7,156
794.7,157
796.5,157
796.5,158
797.4,158
797.4,159
799.2,159
799.2,160
801.4,160
801.4,161
802.1,161
802.1,162
803.4,162
803.4,163
804.3,163
804.3,164
807.8,164
807.8,165
808.7,165
808.7,166
812.7,166
812.7,167
823.3,167
823.3,168
826,168
826,169
827.2,169
827.2,170
831.7,170
831.7,171
846,171
846,172
848.7,172
848.7,173
854.7,173
854.7,174
861.1,174
861.1,175
863.5,175
863.5,176
868.7,176
868.7,177
872.5,177
872.5,178
876.3,178
876.3,179
879.8,179
879.8,180
882.5,180
882.5,181
888,181
888,182
894.7,182
894.7,183
897.7,183
897.7,184
900,184
900,185
907.2,185
907.2,186
911.7,186
911.7,187
915.3,187
915.3,188
919.5,188
919.5,189
925.1,189
925.1,190
927.4,190
927.4,191
930.9,191
930.9,192
933.2,192
933.2,193
936.9,193
936.9,194
944,194
944,195
959.1,195
959.1,196
963.2,196
963.2,197
965.3,197
965.3,198
967.7,198
967.7,199
969.9,199
969.9,200
979.1,200
979.1,201
983.3,201
983.3,202
1001.3,202
1001.3,203
1004,203
1004,204
1011.1,204
1011.1,205
1021.2,205
1021.2,206
1024,206
1024,207
1026.9,207
1026.9,208
1031.9,208
1031.9,209
1037.2,209
1037.2,210
1040.9,210
1040.9,211
1050.5,211
1050.5,212
1055.2,212
1055.2,213
1056.9,213
1056.9,214
1058.4,214
1058.4,215
1071.2,215
1071.2,216
1072.2,216
1072.2,217
1073.5,217
1073.5,218
1076.8,218
1076.8,219
1127.1,219
1127.1,220
1129.4,220
1129.4,221
1147.7,221
1147.7,222
1157.6,222
1157.6,223
1162.7,223
1162.7,224
1178.1,224
1178.1,225
1187.2,225
1187.2,226
1191.5,226
1191.5,227
1202.3,227
1202.3,228
1207.1,228
1207.1,229
1209.4,229
1209.4,230
1213.1,230
1213.1,231
1220.1,231
1220.1,232
1221.9,232
1221.9,233
1224.2,233
1224.2,234
1226.7,234
1226.7,235
1228.6,235
1228.6,236
1236.7,236
1236.7,237
1241.8,237
1241.8,238
1246,238
1246,239
1254.5,239
1254.5,240
1259.4,240
1259.4,241
1279.5,241
1279.5,242
1283.2,242
1283.2,243
1331.4,243
1331.4,244
1334.2,244
1334.2,245
1346.6,245
1346.6,246
1350.2,246
1350.2,247
1354,247
1354,248
1357.9,248
1357.9,249
1361.2,249
1361.2,250
1362.8,250
1362.8,251
1368.5,251
1368.5,252
1372.3,252
1372.3,253
1375.5,253
1375.5,254
1380.1,254
1380.1,255
1382.9,255
1382.9,256
1393.1,256
1393.1,257
1402,257
1402,258
1415.8,258
1415.8,259
1424.6,259
1424.6,260
1425.7,260
1425.7,261
1429.2,261
1429.2,262
1431,262
1431,263
1433.5,263
1433.5,264
1435.2,264
1435.2,265
1438.1,265
1438.1,266
1442.8,266
1442.8,267
1444.4,267
1444.4,268
1451.5,268
1451.5,269
1453.2,269
1453.2,270
1455.5,270
1455.5,271
1457.2,271
1457.2,272
1458.2,272
1458.2,273
1460.3,273
1460.3,274
1462,274
1462,275
1465.2,275
1465.2,276
1472.2,276
1472.2,277
1478.8,277
1478.8,278
1482.3,278
1482.3,279
1485.3,279
1485.3,280
1487.2,280
1487.2,281
1496.7,281
1496.7,282
1501.5,282
1501.5,283
1505.7,283
1505.7,284
1508.6,284
1508.6,285
1511.6,285
1511.6,286
1525.8,286
1525.8,287
1527.9,287
1527.9,288
1538.9,288
1538.9,289
1548.9,289
1548.9,290
1560.4,290
1560.4,291
1564.4,291
1564.4,292
1567,292
1567,293
1569.5,293
1569.5,294
1573.3,294
1573.3,295
1577.8,295
1577.8,296
1581.1,296
1581.1,297
1582.9,297
1582.9,298
1585.3,298
1585.3,299
1587.9,299
1587.9,300
1591.6,300
1591.6,301
1594.7,301
1594.7,302
1597.2,302
1597.2,303
1598.4,303
1598.4,304
1601,304
1601,305
1605.7,305
1605.7,306
1608.2,306
1608.2,307
1612.2,307
1612.2,308
1615.1,308
1615.1,309
1618.1,309
1618.1,310
1622.7,310
1622.7,311
1627.5,311
1627.5,312
1632.8,312
1632.8,313
1642.7,313
1642.7,314
1647.3,314
1647.3,315
1669.7,315
1669.7,316
1673.5,316
1673.5,317
1680.5,317
1680.5,318
1688.7,318
1688.7,319
1690.5,319
1690.5,320
1695.5,320
1695.5,321
1698,321
1698,322
1702,322
1702,323
1710,323
1710,324
1714.4,324
1714.4,325
1716.1,325
1716.1,326
1717.8,326
1717.8,327
1719.3,327
1719.3,328
1721.3,328
1721.3,329
1725,329
1725,330
1726.6,330
1726.6,331
1729.9,331
1729.9,332
1741.4,332
1741.4,333
1748,333
1748,334
1751.9,334
1751.9,335
1755.2,335
1755.2,336
1766.3,336
1766.3,337
1776.6,337
1776.6,338
1779,338
1779,339
1789.5,339
1789.5,340
1794.5,340
1794.5,341
1798,341
1798,342
1807.7,342
1807.7,343
1814,343
1814,344
1817.5,344
1817.5,345
1820.7,345
1820.7,346
1825.4,346
1825.4,347
1830.4,347
1830.4,348
1843.9,348
1843.9,349
1862.1,349
1862.1,350
1878.3,350
1878.3,351
1880.1,351
1880.1,352
1882.9,352
1882.9,353
1887.5,353
1887.5,354
1888.4,354
1888.4,355
1889.6,355
1889.6,356
1892,356
1892,357
1894.7,357
1894.7,358
1899.8,358
1899.8,359
1906.3,359
1906.3,360
1921.1,360
1921.1,361
1922.2,361
1922.2,362
1923.2,362
1923.2,363
1925,363
1925,364
1926,364
1926,365
1927.7,365
1927.7,366
1929.8,366
1929.8,367
1932.1,367
1932.1,368
1932.8,368
1932.8,369
1934.8,369
1934.8,370
1936,370
1936,371
1936.6,371
1936.6,372
1939.9,372
1939.9,373
1941.2,373
1941.2,374
1945.3,374
1945.3,375
1950.6,375
1950.6,376
1955.3,376
1955.3,377
1964.8,377
1964.8,378
1969.4,378
1969.4,379
1975.9,379
1975.9,380
1979.2,380
1979.2,381
1982.6,381
1982.6,382
1986.7,382
1986.7,383
1988.9,383
1988.9,384
1997.6,384
1997.6,385
2002,385
2002,386
2005.5,386
2005.5,387
2011.2,387
2011.2,388
2013.7,388
2013.7,389
2017.6,389
2017.6,390
2019.5,390
2019.5,391
2021.3,391
2021.3,392
2023.7,392
2023.7,393
2025.7,393
2025.7,394
2027.7,394
2027.7,395
2029.7,395
2029.7,396
2035.3,396
2035.3,397
2036.9,397
2036.9,398
2047,398
2047,399
2047.6,399
2047.6,400
2048.7,400
2048.7,401
2050.3,401
2050.3,402
2053.7,402
2053.7,403
2057.4,403
2057.4,404
2059.4,404
2059.4,405
2061,405
2061,406
2062.4,406
2062.4,407
2065.1,407
2065.1,408
2067.6,408
2067.6,409
2068.8,409
2068.8,410
2070.1,410
2070.1,411
2074,411
2074,412
2078.2,412
2078.2,413
2081.4,413
2081.4,414
2086.2,414
2086.2,415
2093.2,415
2093.2,416
2097.5,416
2097.5,417
2101.6,417
2101.6,418
2104.5,418
2104.5,419
2108.3,419
2108.3,420
2111.1,420
2111.1,421
2115.1,421
2115.1,422
2117.5,422
2117.5,423
2121.6,423
2121.6,424
2123.7,424
2123.7,425
2128,425
2128,426
2132,426
2132,427
2137.3,427
2137.3,428
2142.4,428
2142.4,429
2144.7,429
2144.7,430
2146.5,430
2146.5,431
2147.7,431
2147.7,432
2151,432
2151,433
2152.3,433
2152.3,434
2153.2,434
2153.2,435
2154.2,435
2154.2,436
2156.1,436
2156.1,437
2161.3,437
2161.3,438
2162.9,438
2162.9,439
2164.2,439
2164.2,440
2165.8,440
2165.8,441
2167,441
2167,442
2168.5,442
2168.5,443
2170.4,443
2170.4,444
2173.8,444
2173.8,445
2176.8,445
2176.8,446
2179.7,446
2179.7,447
2183.2,447
2183.2,448
2185.7,448
2185.7,449
2186.8,449
2186.8,450
2189.3,450
2189.3,451
2195.3,451
2195.3,452
2197.1,452
2197.1,453
2198.6,453
2198.6,454
2202.9,454
2202.9,455
2206.4,455
2206.4,456
2208.9,456
2208.9,457
2210.4,457
2210.4,458
2212.6,458
2212.6,459
2215.2,459
2215.2,460
2217.5,460
2217.5,461
2221.6,461
2221.6,462
2222.9,462
2222.9,463
2232,463
2232,464
2233.5,464
2233.5,465
2235.3,465
2235.3,466
2241.2,466
2241.2,467
2244.1,467
2244.1,468
2251.4,468
2251.4,469
2254.7,469
2254.7,470
2262.5,470
2262.5,471
2265.1,471
2265.1,472
2269.6,472
2269.6,473
2274.5,473
2274.5,474
2277,474
2277,475
2278.5,475
2278.5,476
2285.6,476
2285.6,477
2289,477
2289,478
2293,478
2293,479
2293.8,479
2293.8,480
2294.8,480
2294.8,481
2299.8,481
2299.8,482
2302.5,482
2302.5,483
2304.4,483
2304.4,484
2308.8,484
2308.8,485
2323.7,485
2323.7,486
2339.2,486
2339.2,487
2341.4,487
2341.4,488
2350.7,488
2350.7,489
2357.4,489
2357.4,490
2367.8,490
2367.8,491
2372.7,491
2372.7,492
2383.9,492
2383.9,493
2386.4,493
2386.4,494
2390.3,494
2390.3,495
2391.6,495
2391.6,496
2392.7,496
2392.7,497
2395.3,497
2395.3,498
2397.8,498
2397.8,499
2399.1,499
2399.1,500
2403.8,500
2403.8,501
2408.1,501
2408.1,502
2414.1,502
2414.1,503
2417,503
2417,504
2422.9,504
2422.9,505
