time,count
0,0
32,0
32,1
44.2,1
44.2,2
45.4,2
45.4,3
56.7,3
56.7,4
57.3,4
57.3,5
58.1,5
58.1,6
58.9,6
58.9,7
61.8,7
61.8,8
84,8
84,9
85.9,9
85.9,10
86.7,10
86.7,11
93.2,11
93.2,12
109.6,12
109.6,13
111.8,13
111.8,14
115.89999999999999,14
115.89999999999999,15
117.39999999999999,15
117.39999999999999,16
159.9,16
159.9,17
165.4,17
165.4,18
185.9,18
185.9,19
189.2,19
189.2,20
196.4,20
196.4,21
209.5,21
209.5,22
217.4,22
217.4,23
218.9,23
218.9,24
223.4,24
223.4,25
230,25
230,26
231,26
231,27
232.4,27
232.4,28
233.6,28
233.6,29
237.6,29
237.6,30
242.8,30
242.8,31
250.7,31
250.7,32
309.7,32
309.7,33
313.2,33
313.2,34
327.7,34
327.7,35
330.5,35
330.5,36
335.4,36
335.4,37
337.9,37
337.9,38
342.6,38
342.6,39
351,39
351,40
355.3,40
355.3,41
357.7,41
357.7,42
360.4,42
360.4,43
362.9,43
362.9,44
366.3,44
366.3,45
416.5,45
416.5,46
420.2,46
420.2,47
423.2,47
423.2,48
463,48
463,49
467.8,49
467.8,50
474,50
474,51
477,51
477,52
480.9,52
480.9,53
482.7,53
482.7,54
493.1,54
493.1,55
494.9,55
494.9,56
497.5,56
497.5,57
503.6,57
503.6,58
506.8,58
506.8,59
509.2,59
509.2,60
515.8,60
515.8,61
518.5,61
518.5,62
535.5,62
535.5,63
545.8,63
545.8,64
553.6,64
553.6,65
562.5,65
562.5,66
584.1,66
584.1,67
592.4,67
592.4,68
603.7,68
603.7,69
606.7,69
606.7,70
631.2,70
631.2,71
634.9,71
634.9,72
654.9,72
654.9,73
656.7,73
656.7,74
661.7,74
661.7,75
664,75
664,76
689.3,76
689.3,77
700.8,77
700.8,78
703.6,78
703.6,79
709.1,79
709.1,80
714.6,80
714.6,81
720.5,81
720.5,82
725.5,82
725.5,83
728.5,83
728.5,84
731,84
731,85
733,85
733,86
738.1,86
738.1,87
740.7,87
740.7,88
746.8,88
746.8,89
756,89
756,90
765.1,90
765.1,91
771.8,91
771.8,92
773.4,92
773.4,93
776.8,93
776.8,94
779.7,94
779.7,95
788.3,95
788.3,96
791.5,96
791.5,97
805.4,97
805.4,98
816.6,98
816.6,99
819.1,99
819.1,100
832.6,100
832.6,101
836.1,101
836.1,102
840,102
840,103
852.5,103
852.5,104
855.4,104
855.4,105
868.4,105
868.4,106
874.5,106
874.5,107
878,107
878,108
914.5,108
914.5,109
922.9,109
922.9,110
924.8,110
924.8,111
926.9,111
926.9,112
930.5,112
930.5,113
935.2,113
935.2,114
943.9,114
943.9,115
945.8,115
945.8,116
947.8,116
947.8,117
953.7,117
953.7,118
959.1,118
959.1,119
961.4,119
961.4,120
965.6,120
965.6,121
968.7,121
968.7,122
980.8,122
980.8,123
1014,123
1014,124
1022.4,124
1022.4,125
1024.9,125
1024.9,126
1031.9,126
1031.9,127
1035.5,127
1035.5,128
1040,128
1040,129
1043.3,129
1043.3,130
1047.3,130
1047.3,131
1048.6,131
1048.6,132
1056.5,132
1056.5,133
1060.7,133
1060.7,134
1064.8,134
1064.8,135
1069.8,135
1069.8,136
1071.5,136
1071.5,137
1074.6,137
1074.6,138
1077.8,138
1077.8,139
1080.3,139
1080.3,140
1081.6,140
1081.6,141
1082.9,141
1082.9,142
1085.9,142
1085.9,143
1088.9,143
1088.9,144
1092.7,144
1092.7,145
1095.7,145
1095.7,146
1103.4,146
1103.4,147
1106.7,147
1106.7,148
1109.2,148
1109.2,149
1110.6,149
1110.6,150
1112,150
1112,151
1113.2,151
1113.2,152
1117.7,152
1117.7,153
1119.7,153
1119.7,154
1128.2,154
1128.2,155
1129.2,155
1129.2,156
1131,156
1131,157
1131.9,157
1131.9,158
1133.3,158
1133.3,159
1134.4,159
1134.4,160
1135.3,160
1135.3,161
1136.8,161
1136.8,162
1138.7,162
1138.7,163
1139.6,163
1139.6,164
1140.4,164
1140.4,165
1141.7,165
1141.7,166
1143,166
1143,167
1144,167
1144,168
1145,168
1145,169
1148.8,169
1148.8,170
1149.6,170
1149.6,171
1151.1,171
1151.1,172
1152,172
1152,173
1153.8,173
1153.8,174
1160.7,174
1160.7,175
1165,175
1165,176
1167.4,176
1167.4,177
1230.3,177
1230.3,178
1233.1,178
1233.1,179
1236.6,179
1236.6,180
1242.3,180
1242.3,181
1254.6,181
1254.6,182
1256,182
1256,183
1260.6,183
1260.6,184
1268.6,184
1268.6,185
1276.2,185
1276.2,186
1278.9,186
1278.9,187
1281.1,187
1281.1,188
1285.7,188
1285.7,189
1287.5,189
1287.5,190
1291.4,190
1291.4,191
1294.7,191
1294.7,192
1297.2,192
1297.2,193
1310.5,193
1310.5,194
1314.7,194
1314.7,195
1316,195
1316,196
1317.8,196
1317.8,197
1319.3,197
1319.3,198
1324.1,198
1324.1,199
1328,199
1328,200
1330.1,200
1330.1,201
1332.3,201
1332.3,202
1334.6,202
1334.6,203
1336.9,203
1336.9,204
1341.6,204
1341.6,205
1344.1,205
1344.1,206
1356.5,206
1356.5,207
1359.3,207
1359.3,208
1369.2,208
1369.2,209
1372.8,209
1372.8,210
1374.7,210
1374.7,211
1377.3,211
1377.3,212
1382.5,212
1382.5,213
1384.4,213
1384.4,214
1410.9,214
1410.9,215
1415.7,215
1415.7,216
1419.4,216
1419.4,217
1421.8,217
1421.8,218
1424.1,218
1424.1,219
1428.3,219
1428.3,220
1431.9,220
1431.9,221
1444.6,221
1444.6,222
1448.1,222
1448.1,223
1458.5,223
1458.5,224
1475.9,224
1475.9,225
1500.1,225
1500.1,226
1507.1,226
1507.1,227
1514.1,227
1514.1,228
1517.1,228
1517.1,229
1520.2,229
1520.2,230
1522.5,230
1522.5,231
1545.2,231
1545.2,232
1546.9,232
1546.9,233
1548.3,233
1548.3,234
1549.5,234
1549.5,235
1550.9,235
1550.9,236
1553.7,236
1553.7,237
1561.1,237
1561.1,238
1562.6,238
1562.6,239
1564.1,239
1564.1,240
1566.2,240
1566.2,241
1567.7,241
1567.7,242
1569.9,242
1569.9,243
1571.2,243
1571.2,244
1573.6,244
1573.6,245
1576.9,245
1576.9,246
1578.4,246
1578.4,247
1581.1,247
1581.1,248
1582.8,248
1582.8,249
1585.2,249
1585.2,250
1586.5,250
1586.5,251
1587.5,251
1587.5,252
1589.7,252
1589.7,253
1590.8,253
1590.8,254
1592.1,254
1592.1,255
1593.4,255
1593.4,256
1595.3,256
1595.3,257
1596.6,257
1596.6,258
1597.4,258
1597.4,259
1598.1,259
1598.1,260
1598.7,260
1598.7,261
1599.2,261
1599.2,262
1600,262
1600,263
1600.9,263
1600.9,264
1602.7,264
1602.7,265
1604,265
1604,266
1604.8,266
1604.8,267
1606.1,267
1606.1,268
1611.9,268
1611.9,269
1614.8,269
1614.8,270
1616.9,270
1616.9,271
1618.3,271
1618.3,272
1621.9,272
1621.9,273
1622.7,273
1622.7,274
1623.6,274
1623.6,275
1625.2,275
1625.2,276
1627.3,276
1627.3,277
1628.5,277
1628.5,278
1629.9,278
1629.9,279
1631,279
1631,280
1632.4,280
1632.4,281
1633.4,281
1633.4,282
1634.4,282
1634.4,283
1635.8,283
1635.8,284
1637,284
1637,285
1637.7,285
1637.7,286
1639.6,286
1639.6,287
1643.2,287
1643.2,288
1645.6,288
1645.6,289
1647.1,289
1647.1,290
1647.8,290
1647.8,291
1649.3,291
1649.3,292
1650.7,292
1650.7,293
1653.2,293
1653.2,294
1654.2,294
1654.2,295
1656,295
1656,296
1657.4,296
1657.4,297
1658.9,297
1658.9,298
1661.5,298
1661.5,299
1662.3,299
1662.3,300
1664,300
1664,301
1665.2,301
1665.2,302
1666.7,302
1666.7,303
1668.4,303
1668.4,304
1670.3,304
1670.3,305
1671.8,305
1671.8,306
1673.3,306
1673.3,307
1674.8,307
1674.8,308
1675.9,308
1675.9,309
1676.9,309
1676.9,310
1677.6,310
1677.6,311
1679.7,311
1679.7,312
1680.5,312
1680.5,313
1681.5,313
1681.5,314
1682.6,314
1682.6,315
1683.9,315
1683.9,316
1685.4,316
1685.4,317
1686.2,317
1686.2,318
1687,318
1687,319
1688.1,319
1688.1,320
1688.9,320
1688.9,321
1691.6,321
1691.6,322
1693.2,322
1693.2,323
1695.3,323
1695.3,324
1696.6,324
1696.6,325
1698.1,325
1698.1,326
1703.6,326
1703.6,327
1704.6,327
1704.6,328
1707.5,328
1707.5,329
1709,329
1709,330
1710,330
1710,331
1711,331
1711,332
1712.2,332
1712.2,333
1713.1,333
1713.1,334
1714.3,334
1714.3,335
1715.6,335
1715.6,336
1716.5,336
1716.5,337
1717.4,337
