time,count
0,0
0.8,0
0.8,1
2,1
2,2
3.5,2
3.5,3
4.7,3
4.7,4
6.5,4
6.5,5
7.8,5
7.8,6
9,6
9,7
10,7
10,8
14.1,8
14.1,9
40,9
40,10
43.3,10
43.3,11
46.8,11
46.8,12
47.9,12
47.9,13
50.1,13
50.1,14
51.4,14
51.4,15
52.9,15
52.9,16
55.1,16
55.1,17
58.9,17
58.9,18
60.9,18
60.9,19
67.5,19
67.5,20
70.5,20
70.5,21
74.3,21
74.3,22
78.5,22
78.5,23
85.6,23
85.6,24
86.39999999999999,24
86.39999999999999,25
92.1,25
92.1,26
95.6,26
95.6,27
100.3,27
100.3,28
103.6,28
103.6,29
107.5,29
107.5,30
120.5,30
120.5,31
125,31
125,32
131.4,32
131.4,33
136,33
136,34
143.1,34
143.1,35
145.9,35
145.9,36
147.6,36
147.6,37
154.6,37
154.6,38
159.1,38
159.1,39
160.7,39
160.7,40
161.6,40
161.6,41
166.6,41
166.6,42
168.1,42
168.1,43
170.4,43
170.4,44
175.1,44
175.1,45
176.8,45
176.8,46
178.9,46
178.9,47
180.9,47
180.9,48
182,48
182,49
184,49
184,50
185.6,50
185.6,51
187.2,51
187.2,52
188.9,52
188.9,53
190.1,53
190.1,54
194.2,54
194.2,55
197.4,55
197.4,56
199.8,56
199.8,57
203.1,57
203.1,58
206.1,58
206.1,59
212.3,59
212.3,60
218,60
218,61
221,61
221,62
223.8,62
223.8,63
229,63
229,64
233.3,64
233.3,65
237.8,65
237.8,66
242,66
242,67
246.8,67
246.8,68
248.6,68
248.6,69
251.9,69
251.9,70
260,70
260,71
262.7,71
262.7,72
264.4,72
264.4,73
271.3,73
271.3,74
272.6,74
272.6,75
274.4,75
274.4,76
277.1,76
277.1,77
281.9,77
281.9,78
283.4,78
283.4,79
284.6,79
284.6,80
285.8,80
285.8,81
288.2,81
288.2,82
289.7,82
289.7,83
290.6,83
290.6,84
291.9,84
291.9,85
301.9,85
301.9,86
304.4,86
304.4,87
306.3,87
306.3,88
310.8,88
310.8,89
313.2,89
313.2,90
314.8,90
314.8,91
316.2,91
316.2,92
317.7,92
317.7,93
318.9,93
318.9,94
320.9,94
320.9,95
322.1,95
322.1,96
325.8,96
325.8,97
326.8,97
326.8,98
329.1,98
329.1,99
331.4,99
331.4,100
332,100
332,101
332.9,101
332.9,102
334.4,102
334.4,103
335.7,103
335.7,104
336.8,104
336.8,105
337.7,105
337.7,106
339,106
339,107
339.9,107
339.9,108
340.6,108
340.6,109
341.6,109
341.6,110
342.6,110
342.6,111
343.9,111
343.9,112
345.1,112
345.1,113
346.7,113
346.7,114
348.3,114
348.3,115
349.5,115
349.5,116
350.7,116
350.7,117
351.6,117
351.6,118
353.7,118
353.7,119
355,119
355,120
358.5,120
358.5,121
362.6,121
362.6,122
364.4,122
364.4,123
365.7,123
365.7,124
367,124
367,125
367.6,125
367.6,126
368.4,126
368.4,127
372.8,127
372.8,128
375,128
375,129
379.7,129
379.7,130
381,130
381,131
381.9,131
381.9,132
383.3,132
383.3,133
387.3,133
387.3,134
389.8,134
389.8,135
391.7,135
391.7,136
393.3,136
393.3,137
395.8,137
395.8,138
398.3,138
398.3,139
399.9,139
399.9,140
410.8,140
410.8,141
415.6,141
415.6,142
418,142
418,143
420.8,143
420.8,144
422.8,144
422.8,145
424.6,145
424.6,146
425.9,146
425.9,147
427.2,147
427.2,148
428.5,148
428.5,149
431.5,149
431.5,150
436,150
436,151
437,151
437,152
442.1,152
442.1,153
446,153
446,154
448.8,154
448.8,155
451.5,155
451.5,156
453.5,156
453.5,157
456,157
456,158
457.6,158
457.6,159
459.7,159
459.7,160
461,160
461,161
462.6,161
462.6,162
464.3,162
464.3,163
466.7,163
466.7,164
470,164
470,165
471.9,165
471.9,166
473.5,166
473.5,167
475.3,167
475.3,168
476.9,168
476.9,169
478.4,169
478.4,170
479.6,170
479.6,171
481.6,171
481.6,172
483.8,172
483.8,173
485.3,173
485.3,174
488,174
488,175
490.3,175
490.3,176
491.6,176
491.6,177
492.2,177
492.2,178
494,178
494,179
494.8,179
494.8,180
495.5,180
495.5,181
496.9,181
496.9,182
498.9,182
498.9,183
500.8,183
500.8,184
502.2,184
502.2,185
503.2,185
503.2,186
504.7,186
504.7,187
508.6,187
508.6,188
510.3,188
510.3,189
512.1,189
512.1,190
513.6,190
513.6,191
514.2,191
514.2,192
515.5,192
515.5,193
516.5,193
516.5,194
517.3,194
517.3,195
518.2,195
518.2,196
520.5,196
520.5,197
522.2,197
522.2,198
523,198
523,199
527.4,199
527.4,200
540,200
540,201
544.7,201
544.7,202
547,202
547,203
549.9,203
549.9,204
553.9,204
553.9,205
557.8,205
557.8,206
561.1,206
561.1,207
563.9,207
563.9,208
566.7,208
566.7,209
568.9,209
568.9,210
570,210
570,211
572.5,211
572.5,212
576.8,212
576.8,213
580.3,213
580.3,214
582.2,214
582.2,215
587,215
587,216
589.1,216
589.1,217
591.6,217
591.6,218
595.2,218
595.2,219
597.5,219
597.5,220
599.5,220
599.5,221
600.5,221
600.5,222
601.2,222
601.2,223
602,223
602,224
602.7,224
602.7,225
603.5,225
603.5,226
604.2,226
604.2,227
606.3,227
606.3,228
607.8,228
607.8,229
610.1,229
610.1,230
612.6,230
612.6,231
616.1,231
616.1,232
617.1,232
617.1,233
618.4,233
618.4,234
621.7,234
621.7,235
624.3,235
624.3,236
625.1,236
625.1,237
630,237
630,238
632,238
632,239
633.7,239
633.7,240
635,240
635,241
636.2,241
636.2,242
638,242
638,243
639.8,243
639.8,244
642.3,244
642.3,245
643.3,245
643.3,246
644.7,246
644.7,247
651,247
651,248
655.1,248
655.1,249
656.6,249
656.6,250
658.4,250
658.4,251
659.3,251
659.3,252
660.5,252
660.5,253
662.4,253
662.4,254
666.2,254
666.2,255
667.7,255
667.7,256
674.5,256
674.5,257
681.7,257
681.7,258
686,258
686,259
690.1,259
690.1,260
707.1,260
707.1,261
718.8,261
718.8,262
723.8,262
723.8,263
732.7,263
732.7,264
735,264
735,265
749.3,265
749.3,266
752.4,266
752.4,267
757.5,267
757.5,268
760.1,268
760.1,269
765.4,269
765.4,270
767.9,270
767.9,271
777.9,271
777.9,272
781,272
781,273
784.3,273
784.3,274
786.7,274
786.7,275
793.4,275
793.4,276
806.7,276
806.7,277
810.1,277
810.1,278
816.4,278
816.4,279
818.6,279
818.6,280
830.4,280
830.4,281
834.5,281
834.5,282
838.6,282
838.6,283
842.5,283
842.5,284
846.8,284
846.8,285
852.3,285
852.3,286
854.3,286
854.3,287
856.8,287
856.8,288
859.4,288
859.4,289
865.7,289
865.7,290
882.6,290
882.6,291
885.7,291
885.7,292
894.1,292
894.1,293
903.9,293
903.9,294
917.7,294
917.7,295
919.5,295
919.5,296
925.9,296
925.9,297
941,297
941,298
944.4,298
944.4,299
945.9,299
945.9,300
947.8,300
947.8,301
949.1,301
949.1,302
949.3,302
949.3,303
951.3,303
951.3,304
952.2,304
952.2,305
955.5,305
955.5,306
965.2,306
965.2,307
981.5,307
981.5,308
992.1,308
992.1,309
995.9,309
995.9,310
998.1,310
998.1,311
1003,311
1003,312
1005.5,312
1005.5,313
1012.6,313
1012.6,314
1014.9,314
1014.9,315
1020.4,315
1020.4,316
1022.9,316
1022.9,317
1026.1,317
1026.1,318
1028.7,318
1028.7,319
1041.6,319
1041.6,320
1043.5,320
1043.5,321
1046.3,321
1046.3,322
1048.9,322
1048.9,323
1050.9,323
1050.9,324
1054.7,324
1054.7,325
1059.8,325
1059.8,326
1063.1,326
1063.1,327
1067.6,327
1067.6,328
1071.3,328
1071.3,329
1075.6,329
1075.6,330
1080.7,330
1080.7,331
1085.2,331
1085.2,332
1089.1,332
1089.1,333
1092,333
1092,334
1094.6,334
1094.6,335
1096.7,335
1096.7,336
1099.1,336
1099.1,337
1102.4,337
1102.4,338
1104.6,338
1104.6,339
1106.9,339
1106.9,340
1109.7,340
1109.7,341
1112.5,341
1112.5,342
1113.7,342
1113.7,343
1114.7,343
1114.7,344
1116.1,344
1116.1,345
1121.5,345
1121.5,346
1122.3,346
1122.3,347
1125.1,347
1125.1,348
1142.1,348
1142.1,349
1143.9,349
1143.9,350
1144.9,350
1144.9,351
1146.7,351
1146.7,352
1154.7,352
1154.7,353
1160.2,353
1160.2,354
1170.5,354
1170.5,355
1173.1,355
1173.1,356
1176.8,356
1176.8,357
1178.6,357
1178.6,358
1179.7,358
1179.7,359
1180.3,359
1180.3,360
1186.9,360
1186.9,361
1190.8,361
1190.8,362
1193.4,362
1193.4,363
1195.2,363
1195.2,364
1196.9,364
1196.9,365
1198.8,365
1198.8,366
1202.1,366
1202.1,367
1209.5,367
1209.5,368
1212.5,368
1212.5,369
1219.6,369
1219.6,370
1224,370
1224,371
1230.2,371
1230.2,372
1233.7,372
1233.7,373
1236.9,373
1236.9,374
1246.3,374
1246.3,375
1253.6,375
1253.6,376
1257,376
1257,377
1261.5,377
1261.5,378
1270.1,378
1270.1,379
1274.2,379
1274.2,380
1277.2,380
1277.2,381
1280.3,381
1280.3,382
1283.7,382
1283.7,383
1286.4,383
1286.4,384
1289.2,384
1289.2,385
1292.5,385
1292.5,386
1293,386
1293,387
1297.5,387
1297.5,388
1300,388
1300,389
1303.1,389
1303.1,390
1305.1,390
1305.1,391
1317.6,391
1317.6,392
1320.5,392
1320.5,393
1355.8,393
1355.8,394
1358.7,394
1358.7,395
1360.2,395
1360.2,396
1361,396
1361,397
1362.1,397
1362.1,398
1363.4,398
1363.4,399
1364,399
1364,400
1365.8,400
