title,year,genre,lambda0,mu,beta,alpha,D,p
A Night at the Opera,1935,Comedy,0.0317,0.7184,0.0419,0.0301,0.057,0.044
A Tale of Two Cities,1935,Drama,0.0425,0.6166,0.0289,0.0178,0.03,0.465
Ace Ventura 2,1995,Comedy,0.08,0.6275,0.0538,0.0338,0.021,0.691
Airplane,1980,Comedy,0.0812,0.4251,0.0406,0.0173,0.04,0.21
Airport,1970,Drama,0.0681,0.4749,0.0169,0.008,0.036,0.143
All About Eve,1950,Drama,0.0386,0.5907,0.0586,0.0346,0.028,0.58
Anna Karenina,1935,Drama,0.0521,0.5152,0.0132,0.0068,0.04,0.32
Annie Get Your Gun,1950,Comedy,0.0199,0.7205,0.0501,0.0361,0.052,0.181
Apollo 13,1995,Adventure,0.1117,0.4555,0.025,0.0114,0.024,0.302
Back to the Future,1985,Action,0.0579,0.715,0.055,0.0393,0.024,0.414
Barry Lyndon,1975,Drama,0.0425,0.409,0.0162,0.0066,0.047,0.063
Batman Forever,1995,Action,0.0748,0.7218,0.0401,0.029,0.016,0.709
Battle Cry,1955,Drama,0.0534,0.4844,0.0211,0.0102,0.04,0.116
Beneath the Planet of the Apes,1970,Action,0.0697,0.6815,0.0558,0.038,0.049,0.006
Blood on the Sun,1945,Action,0.0329,0.5309,0.0095,0.005,0.046,0.293
Born Yesterday,1950,Comedy,0.0264,0.5602,0.0535,0.03,0.055,0.218
Brief Encounter,1945,Drama,0.0382,0.4472,0.0098,0.0044,0.092,0.006
Butterfield 8,1960,Drama,0.0385,0.5566,0.0297,0.0165,0.055,0.07
Captain Blood,1935,Action,0.0706,0.5819,0.0188,0.0109,0.04,0.045
Casper,1995,Comedy,0.055,0.6414,0.0302,0.0194,0.024,0.731
Castaway,2000,Adventure,0.0241,0.7751,0.0345,0.0267,0.032,0.328
Catch 22,1970,Comedy,0.0259,0.6581,0.0597,0.0393,0.032,0.645
Charlie's Angels,2000,Action,0.0673,0.7953,0.04,0.0318,0.018,0.643
Cheaper By the Dozen,1950,Comedy,0.0476,0.3701,0.0329,0.0122,0.066,0.07
Cinderella,1950,Animation,0.1002,0.6074,0.013,0.0079,0.031,0.253
Coal Miner's Daughter,1980,Drama,0.0469,0.5271,0.0422,0.0222,0.051,0.051
Cocoon,1985,Adventure,0.0666,0.6105,0.0252,0.0154,0.018,0.853
Detour,1945,Drama,0.0392,0.2931,0.0032,9.00E-04,0.042,0.716
Dick Tracy,1990,Action,0.0841,0.6652,0.0357,0.0238,0.025,0.331
Die Hard 2,1990,Action,0.104,0.6848,0.0236,0.0162,0.016,0.601
Dinosaur,2000,Animation,0.1907,0.3248,0.0203,0.0066,0.021,0.664
Dog Day Afternoon,1975,Drama,0.0645,0.6742,0.0415,0.028,0.022,0.488
